Country name,Regional indicator,Ladder score,Healthy life expectancy,CapitalName,CapitalLatitude,CapitalLongitude
Finland,Western Europe,7.741,0.695,Helsinki,60.16666666666666,24.933333
Denmark,Western Europe,7.583,0.699,Copenhagen,55.66666666666666,12.583333
Iceland,Western Europe,7.525,0.718,Reykjavik,64.15,-21.95
Sweden,Western Europe,7.344,0.724,Stockholm,59.333333333333336,18.05
Israel,Middle East and North Africa,7.341,0.74,Jerusalem,31.766666666666666,35.233333
Netherlands,Western Europe,7.319,0.706,Amsterdam,52.35,4.916667
Norway,Western Europe,7.302,0.704,Oslo,59.91666666666666,10.75
Luxembourg,Western Europe,7.122,0.708,Luxembourg,49.6,6.116667
Switzerland,Western Europe,7.06,0.747,Bern,46.91666666666666,7.466667
Australia,North America and ANZ,7.057,0.692,Canberra,-35.266666666666666,149.133333
New Zealand,North America and ANZ,7.029,0.673,Wellington,-41.3,174.783333
Costa Rica,Latin America and Caribbean,6.955,0.661,San Jose,9.933333333333334,-84.083333
Kuwait,Middle East and North Africa,6.951,0.661,Kuwait City,29.366666666666667,47.966667
Austria,Western Europe,6.905,0.696,Vienna,48.2,16.366667
Canada,North America and ANZ,6.9,0.701,Ottawa,45.41666666666666,-75.7
Belgium,Western Europe,6.894,0.69,Brussels,50.833333333333336,4.333333
Ireland,Western Europe,6.838,0.7,Dublin,53.31666666666667,-6.233333
Lithuania,Central and Eastern Europe,6.818,0.598,Vilnius,54.68333333333333,25.316667
United Kingdom,Western Europe,6.749,0.672,London,51.5,-0.083333
Slovenia,Central and Eastern Europe,6.743,0.695,Ljubljana,46.05,14.516667
United Arab Emirates,Middle East and North Africa,6.733,0.563,Abu Dhabi,24.466666666666665,54.366667
United States,North America and ANZ,6.725,0.542,Washington,38.883333,-77.0
Germany,Western Europe,6.719,0.702,Berlin,52.516666666666666,13.4
Mexico,Latin America and Caribbean,6.678,0.544,Mexico City,19.433333333333334,-99.133333
Uruguay,Latin America and Caribbean,6.611,0.592,Montevideo,-34.85,-56.166667
France,Western Europe,6.609,0.727,Paris,48.86666666666667,2.333333
Saudi Arabia,Middle East and North Africa,6.594,0.511,Riyadh,24.65,46.7
Kosovo,Central and Eastern Europe,6.561,0.599,Pristina,42.66666666666666,21.166667
Singapore,Southeast Asia,6.523,0.769,Singapore,1.2833333333333332,103.85
Romania,Central and Eastern Europe,6.491,0.583,Bucharest,44.43333333333333,26.1
El Salvador,Latin America and Caribbean,6.469,0.549,San Salvador,13.7,-89.2
Estonia,Central and Eastern Europe,6.448,0.657,Tallinn,59.43333333333333,24.716667
Poland,Central and Eastern Europe,6.442,0.639,Warsaw,52.25,21.0
Spain,Western Europe,6.421,0.729,Madrid,40.4,-3.683333
Serbia,Central and Eastern Europe,6.411,0.585,Belgrade,44.833333333333336,20.5
Chile,Latin America and Caribbean,6.36,0.673,Santiago,-33.45,-70.666667
Panama,Latin America and Caribbean,6.358,0.633,Panama City,8.966666666666667,-79.533333
Malta,Western Europe,6.346,0.707,Valletta,35.88333333333333,14.5
Italy,Western Europe,6.324,0.72,Rome,41.9,12.483333
